Model,R2 Score (20t),MAE (20t),RMSE (20t),R2 Score (30t),MAE (30t),RMSE (30t)
Linear Regression,0.8817392996491711,2.0635597974559845,3.457256616328473,0.8408427569070647,2.51274544661816,4.024639757436469
Random Forest,0.9347051118717087,1.3128714236000723,2.5689223914461707,0.8833785271750804,1.7834149659057177,3.4451098170873284
KNN,0.9193415105773205,1.4316140350877196,2.8551993445852974,0.8774610767021971,1.7836140350877197,3.5314319281711195
